param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
basic,0.22857142857142854,0.7843322903644967,0.6426676771504358,0.4761904761904762,0.5329404680692092,0.20682056384263298,471,0.4,0.7415730337078652,0.6349206349206349,0.5555555555555556,0.583012306046014,0.12458265958289172,456,LogisticRegression_PCA
basic,0.5844155844155844,0.8351315822109779,0.6326530612244898,0.4552845528455285,0.6268711951741452,0.13661101117245872,295,0.6,0.8089887640449438,0.6190476190476191,0.5185185185185185,0.6366387254027703,0.1064292750095985,371,LogisticRegression_PCA
basic,0.7136876006441224,0.826670028523252,0.6601328903654485,0.5390869293308318,0.6848943622159136,0.1034436176243035,187,0.72,0.8089887640449438,0.6507936507936508,0.5925925925925926,0.6930937518577968,0.0806929079948103,225,LogisticRegression_PCA
basic,0.8,0.8235454669517355,0.6737400530503977,0.5952380952380951,0.7231309038100571,0.09325766598942452,119,0.8,0.797752808988764,0.6666666666666666,0.6296296296296297,0.7235122763212651,0.07649739088873866,179,LogisticRegression_PCA
cleaned,0.5902777777777778,0.7553894654371577,0.6596638655462185,0.5108638049814521,0.6290487284356515,0.0899585059807754,292,0.6,0.6966292134831461,0.7142857142857143,0.5185185185185185,0.6323583615718448,0.07881847333926136,379,LogisticRegression_PCA
cleaned,0.22857142857142854,0.7843322903644967,0.6601328903654485,0.4961240310077519,0.5422901600772814,0.2079795998930237,458,0.4,0.7415730337078652,0.6507936507936508,0.5925925925925926,0.5962398192735271,0.12512117394980757,439,LogisticRegression_PCA
cleaned,0.3836007130124777,0.723507380480282,0.7222454964390448,0.4761904761904762,0.5763860165305702,0.15010413315945093,386,0.48,0.6629213483146067,0.7301587301587301,0.5555555555555556,0.6071589085072231,0.09626876423349544,425,LogisticRegression_PCA
cleaned,0.3836007130124777,0.826670028523252,0.7185577580314423,0.5390869293308318,0.616978857224501,0.1694263638255784,307,0.48,0.8089887640449438,0.7142857142857143,0.5925925925925926,0.6489667677308126,0.12409816709294602,350,LogisticRegression_PCA
cleaned,0.3836007130124777,0.8431515261793204,0.7322892716151144,0.5952380952380951,0.6385699015112519,0.17140879061698458,272,0.48,0.8202247191011236,0.7301587301587301,0.6296296296296297,0.6650032697223709,0.12630957662949965,314,LogisticRegression_PCA
basic,0.5500805152979066,0.0628083036448342,0.6820276497695853,0.4944444444444444,0.4473402282891926,0.23222691522842676,512,0.56,0.12359550561797752,0.6984126984126984,0.48148148148148145,0.4658724213780393,0.21232764264228687,513,LogisticRegression_PCA
basic,0.22857142857142854,0.6382022471910112,0.6464439434310308,0.43333333333333335,0.48663773813170097,0.17171881329627797,496,0.4,0.550561797752809,0.6349206349206349,0.48148148148148145,0.5167409785387314,0.08657650835787797,494,LogisticRegression_PCA
basic,0.31029411764705883,0.745712596096984,0.61874074370572,0.43333333333333335,0.527020197695774,0.1673218799247312,475,0.44,0.6853932584269663,0.6031746031746031,0.48148148148148145,0.5525123357707628,0.09737609165770639,481,LogisticRegression_PCA
basic,0.5666666666666667,0.8381642826124831,0.6655052264808363,0.6461538461538462,0.6791225054784581,0.09901131922888147,197,0.6,0.8089887640449438,0.6507936507936508,0.6666666666666666,0.6816122703763152,0.0775540008615252,269,LogisticRegression_PCA
basic,0.6187192118226601,0.840593432008541,0.6814814814814815,0.6461538461538462,0.6967369928666322,0.08598376969028017,162,0.64,0.8089887640449438,0.6666666666666666,0.6666666666666666,0.6955805243445692,0.06637515696778215,220,LogisticRegression_PCA
cleaned,0.3836007130124777,0.08413927739342943,0.6820276497695853,0.4588744588744588,0.4021605247624878,0.21390655575073134,514,0.48,0.1348314606741573,0.6984126984126984,0.4444444444444444,0.43942215088282505,0.2009498554012987,514,LogisticRegression_PCA
cleaned,0.22857142857142854,0.7275492101039115,0.6326530612244898,0.5634920634920635,0.5380664408479734,0.18793880221367848,462,0.4,0.6629213483146067,0.6190476190476191,0.6296296296296297,0.5778996492479639,0.10397850836068025,464,LogisticRegression_PCA
cleaned,0.3836007130124777,0.7010315688676372,0.7185577580314423,0.4552845528455285,0.5646186481892714,0.14750184043538797,410,0.48,0.6292134831460674,0.7142857142857143,0.5185185185185185,0.585504428987575,0.09234906279415277,453,LogisticRegression_PCA
cleaned,0.3836007130124777,0.840593432008541,0.6632653061224489,0.6461538461538462,0.6334033243243284,0.16308234047886014,286,0.48,0.8089887640449438,0.6507936507936508,0.6666666666666666,0.6516122703763153,0.11666773020937869,344,LogisticRegression_PCA
cleaned,0.3836007130124777,0.8156715869868546,0.6771879483500718,0.6461538461538462,0.6306535236258126,0.15626298960783203,290,0.48,0.7752808988764045,0.6666666666666666,0.6666666666666666,0.6471535580524344,0.10620552039770816,354,LogisticRegression_PCA
basic,0.22857142857142854,0.018573721623480855,0.516390977443609,0.4555555555555556,0.3047729207985185,0.1969988920454801,530,0.4,0.10112359550561797,0.49206349206349204,0.48148148148148145,0.36866714226264785,0.15852052837320038,528,LogisticRegression_PCA
basic,0.22857142857142854,0.43348195707746273,0.6046879949318975,0.5555555555555556,0.4555742340340861,0.14512883994171732,509,0.4,0.34831460674157305,0.5873015873015873,0.5555555555555556,0.47279293739967904,0.10094001734331581,509,LogisticRegression_PCA
basic,0.22857142857142854,0.6932800345721695,0.6373626373626373,0.41025641025641024,0.49236762769066134,0.185553250286128,493,0.4,0.6179775280898876,0.6190476190476191,0.4444444444444444,0.5203673978954877,0.09939583605471257,493,LogisticRegression_PCA
basic,0.31029411764705883,0.7829995114802148,0.6978021978021978,0.6031746031746031,0.5985676075260187,0.17817509680041696,329,0.44,0.7303370786516854,0.6825396825396826,0.5925925925925926,0.6113673384459901,0.11061030401405171,418,LogisticRegression_PCA
basic,0.31029411764705883,0.7478237006997698,0.6978021978021978,0.6031746031746031,0.5897736548309074,0.16951281678434968,347,0.44,0.6853932584269663,0.6825396825396826,0.5925925925925926,0.6001313833898103,0.0996990576894349,436,LogisticRegression_PCA
cleaned,0.22857142857142854,0.018573721623480855,0.515527950310559,0.5925925925925926,0.3388164232745152,0.22931346161913657,517,0.4,0.10112359550561797,0.49206349206349204,0.5925925925925926,0.39644492004042564,0.1836056535634691,517,LogisticRegression_PCA
