mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__C,param_clf__estimator__class_weight,param_clf__threshold,param_feature_selector__feature_set,param_pca__n_components,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.030753413836161297,0.0054523233809990876,0.008700688680013021,0.002917778895438099,0.1,,0.2,cleaned_invariant+speed,0.99,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant+speed', 'pca__n_components': 0.99}",0.5840000000000001,0.7096642738472149,0.7642966751918159,1.0,1.0,1.0,0.8429934915065052,0.16583155557693177,1212,0.68,0.7608695652173914,0.8043478260869565,1.0,1.0,1.0,0.8742028985507245,0.13096670925467,1046
0.038718183835347496,0.00930726385220053,0.007012685139973958,0.0033647115451485316,0.1,,0.2,cleaned_invariant+speed,0.999,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant+speed', 'pca__n_components': 0.999}",0.5840000000000001,0.7096642738472149,0.7642966751918159,1.0,1.0,1.0,0.8429934915065052,0.16583155557693177,1212,0.68,0.7608695652173914,0.8043478260869565,1.0,1.0,1.0,0.8742028985507245,0.13096670925467,1046
0.04557506243387858,0.009528465797197048,0.011256655057271322,0.0038908183424679233,0.1,,0.3,basic,0.8,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.8}",0.5840000000000001,0.7433574879227053,0.7282843798000063,1.0,0.9743589743589742,1.0,0.8383334736802811,0.1615507273625578,1228,0.68,0.782608695652174,0.7608695652173914,1.0,0.95,1.0,0.8622463768115942,0.12615201136999285,1118
0.05170234044392904,0.013118215969703114,0.011280218760172525,0.0057235854492829604,0.1,,0.3,basic,0.9,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.9}",0.5840000000000001,0.8877740616871053,0.8072463768115942,1.0,1.0,1.0,0.8798367397497833,0.1506482469190507,986,0.68,0.8913043478260869,0.8260869565217391,1.0,1.0,1.0,0.8995652173913044,0.11827765226184812,915
0.05784602959950765,0.00875510072263594,0.008762876192728678,0.003097299209610311,0.1,,0.3,basic,0.95,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.95}",0.6213381555153706,0.8590153452685422,0.9553495311167945,1.0,1.0,1.0,0.9059505053167846,0.1367377569222263,839,0.7,0.8695652173913043,0.9565217391304348,1.0,1.0,1.0,0.9210144927536232,0.10914159728888509,613
0.052024523417154946,0.0033081934092521626,0.008679827054341635,0.003614789495027499,0.1,,0.3,basic,0.99,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.99}",0.5840000000000001,0.8844905905256328,0.9553495311167945,1.0,1.0,1.0,0.9039733536070713,0.14892133669814386,859,0.68,0.8913043478260869,0.9565217391304348,1.0,1.0,1.0,0.9213043478260871,0.11470765009600797,607
0.04462567965189616,0.00974315839293962,0.007384777069091797,0.002597395748213807,0.1,,0.3,basic,0.999,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'basic', 'pca__n_components': 0.999}",0.6213381555153706,0.8844905905256328,0.9553495311167945,1.0,1.0,1.0,0.9101963795262996,0.1356052721541474,788,0.7,0.8913043478260869,0.9565217391304348,1.0,1.0,1.0,0.9246376811594202,0.10772513585013412,532
0.04709267616271973,0.010315734822156739,0.009752313296000162,0.003614368566224935,0.1,,0.3,cleaned,0.8,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.8}",0.5840000000000001,0.6568759600012538,0.711918158567775,1.0,0.9743589743589742,1.0,0.8211921821546673,0.17445405414621742,1251,0.68,0.717391304347826,0.7608695652173914,1.0,0.95,1.0,0.851376811594203,0.1350419236793474,1189
0.05200350284576416,0.007299706195151509,0.0083311398824056,0.0026088127007264567,0.1,,0.3,cleaned,0.9,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.9}",0.6884697910784868,0.7555053642010163,0.8072463768115942,1.0,1.0,1.0,0.8752035886818496,0.12944612237663675,1004,0.74,0.782608695652174,0.8260869565217391,1.0,1.0,1.0,0.8914492753623189,0.1113591539282743,957
0.045621673266092934,0.005275371383704023,0.009731014569600424,0.0025106552199112724,0.1,,0.3,cleaned,0.95,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.95}",0.6213381555153706,0.804404291360813,0.9553495311167945,1.0,1.0,1.0,0.8968486629988298,0.14130047660174602,901,0.7,0.8260869565217391,0.9565217391304348,1.0,1.0,1.0,0.913768115942029,0.1136665290011307,748
0.05011077721913656,0.010230972749271407,0.008465051651000977,0.0011080010049848985,0.1,,0.3,cleaned,0.99,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.99}",0.5840000000000001,0.804404291360813,0.9553495311167945,1.0,1.0,1.0,0.8906256370796012,0.15358539319875508,943,0.68,0.8260869565217391,0.9565217391304348,1.0,1.0,1.0,0.9104347826086956,0.12000315055725534,800
0.0496970017751058,0.004762018596295923,0.01235651969909668,0.00662577633720486,0.1,,0.3,cleaned,0.999,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned', 'pca__n_components': 0.999}",0.5840000000000001,0.804404291360813,0.9553495311167945,1.0,1.0,1.0,0.8906256370796012,0.15358539319875508,943,0.68,0.8260869565217391,0.9565217391304348,1.0,1.0,1.0,0.9104347826086956,0.12000315055725534,800
0.05284198125203451,0.013588510992069546,0.013714353243509928,0.010664904321143209,0.1,,0.3,cleaned+speed,0.8,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.8}",0.5840000000000001,0.7247834835097542,0.711918158567775,1.0,0.9743589743589742,1.0,0.8325101027394172,0.16539424939709346,1242,0.68,0.7608695652173914,0.7608695652173914,1.0,0.95,1.0,0.8586231884057972,0.1286742091092736,1143
0.08987939357757568,0.03166795548691666,0.01394959290822347,0.011257282818773065,0.1,,0.3,cleaned+speed,0.9,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.9}",0.6884697910784868,0.7844990548204158,0.8072463768115942,1.0,1.0,1.0,0.8800358704517496,0.1253643579242901,985,0.74,0.8043478260869565,0.8260869565217391,1.0,1.0,1.0,0.8950724637681159,0.10806386436625583,944
0.07965397834777832,0.046806789170578275,0.01566159725189209,0.014237576182497371,0.1,,0.3,cleaned+speed,0.95,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.95}",0.656037296037296,0.8590153452685422,0.9553495311167945,1.0,1.0,1.0,0.9117336954037721,0.12478984720730071,749,0.72,0.8695652173913043,0.9565217391304348,1.0,1.0,1.0,0.9243478260869565,0.10244029413582285,538
0.09500630696614583,0.030553726451303585,0.016554951667785645,0.010484818259999503,0.1,,0.3,cleaned+speed,0.99,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.99}",0.5840000000000001,0.8323881537492123,0.9553495311167945,1.0,1.0,1.0,0.8952896141443345,0.15130422220305773,915,0.68,0.8478260869565217,0.9565217391304348,1.0,1.0,1.0,0.9140579710144928,0.11770801792453181,737
