mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__class_weight,param_clf__estimator__learning_rate,param_clf__estimator__max_depth,param_clf__estimator__num_leaves,param_clf__threshold,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc
2.566793521245321,0.23887619579764838,0.00506440798441569,0.0002818401634740038,,0.01,5,31,0.5,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'cleaned+speed'}",0.7189473684210526,0.9089895611634743,0.7642966751918159,1.0,1.0,1.0,0.8987056007960571,0.11638027264086645,1714,0.76,0.9130434782608695,0.8043478260869565,1.0,1.0,1.0,0.9128985507246377,0.09825242578401187,1756
2.452366828918457,0.2535661177481979,0.004559000333150228,0.00032674163504552053,,0.01,5,31,0.5,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'invariant'}",0.7825396825396825,0.9780585897527427,0.7642966751918159,1.0,1.0,1.0,0.9208158245807069,0.10464676349367948,679,0.8,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.9304347826086957,0.0910278767967664,661
2.551336884498596,0.2808997534293655,0.005057732264200847,0.0015022296924946494,,0.01,5,31,0.5,cleaned_invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'cleaned_invariant'}",0.6884697910784868,0.9780585897527427,0.7642966751918159,1.0,1.0,1.0,0.9051375093371742,0.1285140725572004,1351,0.74,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.9204347826086957,0.10674628802118226,1267
2.439521551132202,0.11656346509137515,0.004745960235595703,0.0003019275188296397,,0.01,5,31,0.5,cleaned_invariant+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.6884697910784868,0.9556482919254659,0.7642966751918159,1.0,1.0,1.0,0.9014024596992948,0.1266526435342926,1534,0.74,0.9565217391304348,0.8043478260869565,1.0,1.0,1.0,0.9168115942028985,0.10507796087569336,1543
2.529137452443441,0.11958807057813559,0.0048749446868896484,0.00020833450546255445,,0.01,5,31,0.6,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'basic'}",0.6884697910784868,0.9780585897527427,0.7642966751918159,1.0,1.0,1.0,0.9051375093371742,0.1285140725572004,1351,0.74,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.9204347826086957,0.10674628802118226,1267
2.4781436125437417,0.11628546781393366,0.005075732866923015,0.0004965601661148495,,0.01,5,31,0.6,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'cleaned'}",0.656037296037296,0.9780585897527427,0.7642966751918159,1.0,1.0,1.0,0.8997320934969757,0.13785614850246997,1624,0.72,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.9171014492753624,0.11248655080755829,1456
2.480862855911255,0.10275563224714356,0.005366365114847819,0.0007053505226718522,,0.01,5,31,0.6,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'cleaned+speed'}",0.8010958904109589,0.9780585897527427,0.7642966751918159,1.0,1.0,1.0,0.9239085258925863,0.1007148226674743,580,0.82,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.933768115942029,0.08644110533936697,517
2.326973795890808,0.07717616928217295,0.004752834637959798,0.0007956960005524448,,0.01,5,31,0.6,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'invariant'}",0.8071491015055853,0.9780585897527427,0.7642966751918159,1.0,1.0,1.0,0.9249173944083573,0.09950256770957622,523,0.82,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.933768115942029,0.08644110533936697,517
2.491903066635132,0.14712824402285238,0.0048321882883707685,0.0007888687943958825,,0.01,5,31,0.6,cleaned_invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'cleaned_invariant'}",0.6884697910784868,0.9780585897527427,0.7642966751918159,1.0,1.0,1.0,0.9051375093371742,0.1285140725572004,1351,0.74,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.9204347826086957,0.10674628802118226,1267
2.406660795211792,0.11600157904266811,0.004660209019978841,0.0005326483727568071,,0.01,5,31,0.6,cleaned_invariant+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.8010958904109589,0.9780585897527427,0.7642966751918159,1.0,1.0,1.0,0.9239085258925863,0.1007148226674743,580,0.82,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.933768115942029,0.08644110533936697,517
2.4622987111409507,0.13280156420203884,0.005041082700093587,0.0004888136261628526,,0.01,5,31,0.7,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.7, 'feature_selector__feature_set': 'basic'}",0.6884697910784868,0.9780585897527427,0.7642966751918159,1.0,1.0,1.0,0.9051375093371742,0.1285140725572004,1351,0.74,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.9204347826086957,0.10674628802118226,1267
2.6306475400924683,0.14909500143742052,0.005565802256266276,0.0007393462478933729,,0.01,5,31,0.7,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.7, 'feature_selector__feature_set': 'cleaned'}",0.6884697910784868,0.9780585897527427,0.7642966751918159,1.0,1.0,0.975609756097561,0.9010724686867677,0.1258063983317155,1606,0.74,0.9782608695652174,0.8043478260869565,1.0,1.0,0.9523809523809523,0.9124982746721878,0.1022094459374491,1768
2.6849022706349692,0.31114867483097647,0.005574862162272136,0.001505310347426665,,0.01,5,31,0.7,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 5, 'clf__estimator__num_leaves': 31, 'clf__threshold': 0.7, 'feature_selector__feature_set': 'cleaned+speed'}",0.8500048567265662,0.9780585897527427,0.7642966751918159,1.0,1.0,1.0,0.9320600202785209,0.0920515985263688,247,0.86,0.9782608695652174,0.8043478260869565,1.0,1.0,1.0,0.9404347826086957,0.07859630208828766,193
