mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__class_weight,param_clf__estimator__max_depth,param_clf__estimator__min_samples_leaf,param_clf__threshold,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.5722814202308655,0.011803714568390937,0.04995173215866089,0.0011368180921834969,,,1,0.3,cleaned_invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,503,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.5953167080879211,0.0637094251213273,0.06880289316177368,0.034744297135978486,,,1,0.3,cleaned_invariant+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.3, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,503,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.5705562233924866,0.024922881943659162,0.05793297290802002,0.008333313312484937,,,1,0.4,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'basic'}",0.45,0.8510072468585864,0.6596638655462185,0.5333333333333333,0.6235011114345346,0.15107915997686064,364,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.7558420300483704,0.18236675391753435,0.07464265823364258,0.013356301143462191,,,1,0.4,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'cleaned'}",0.45,0.8510072468585864,0.6596638655462185,0.5333333333333333,0.6235011114345346,0.15107915997686064,364,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.747084379196167,0.05447802289032276,0.05119359493255615,0.008320636171078963,,,1,0.4,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.8510072468585864,0.6709280588554543,0.5333333333333333,0.6263171597618435,0.1518300862487842,338,0.6,0.898876404494382,0.7301587301587301,0.6666666666666666,0.7239254503299447,0.11099862126007316,173
0.7093284130096436,0.1612814163447755,0.06566298007965088,0.012922383561314529,,,1,0.4,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'invariant'}",0.45,0.8762974852862493,0.6618566618566618,0.5333333333333333,0.630371870119061,0.1607958250840818,315,0.6,0.9101123595505618,0.6984126984126984,0.6666666666666666,0.7187979311574816,0.11602519705880598,646
0.5432451963424683,0.03211318896860537,0.05409032106399536,0.007585459849837325,,,1,0.4,cleaned_invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.8510072468585864,0.6736263736263737,0.5333333333333333,0.6269917384545733,0.15203265235973304,333,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.6220055818557739,0.09224134811331898,0.04406118392944336,0.0037104711580977384,,,1,0.4,cleaned_invariant+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.4, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,0.8510072468585864,0.6596638655462185,0.5333333333333333,0.6235011114345346,0.15107915997686064,364,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,239
0.5638952851295471,0.03768130744330885,0.047428011894226074,0.008485315646740571,,,1,0.5,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'basic'}",0.45,0.8688200718073558,0.7625000000000001,0.5333333333333333,0.6536633512851723,0.16889042628752907,146,0.6,0.898876404494382,0.7777777777777778,0.6666666666666666,0.7358302122347066,0.11355296303557767,47
0.6112552881240845,0.1301531201492233,0.06814861297607422,0.01889433910650538,,,1,0.5,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'cleaned'}",0.45,0.8809617348943193,0.7824399708949794,0.5333333333333333,0.661683759780658,0.17603177200204473,109,0.6,0.898876404494382,0.7936507936507936,0.6666666666666666,0.7397984662029605,0.11521472874454347,35
0.6029181480407715,0.1103758888309516,0.0631415843963623,0.0074900054687661866,,,1,0.5,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.9142069345833046,0.7073282210146767,0.5333333333333333,0.6512171222328287,0.1779726206271675,163,0.6,0.9213483146067416,0.7301587301587301,0.6666666666666666,0.7295434278580346,0.11992130750697695,97
0.5563075542449951,0.04002968150728679,0.06807863712310791,0.02457534238100062,,,1,0.5,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'invariant'}",0.45,0.9074146826955816,0.7549224968579807,0.5333333333333333,0.6614176282217239,0.18052749886682984,111,0.6,0.9213483146067416,0.7619047619047619,0.6666666666666666,0.7374799357945425,0.12074705450671384,37
0.7035810947418213,0.08600920249334164,0.07283693552017212,0.008827321273118107,,,1,0.5,cleaned_invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,0.9387192389880746,0.7686170212765958,0.6121212121212122,0.6923643680964707,0.18144189189152163,24,0.6,0.9438202247191011,0.7777777777777778,0.7037037037037037,0.7563254265501457,0.1253207758265003,10
0.6222788691520691,0.042615517646933165,0.0636603832244873,0.007870500270055508,,,1,0.5,cleaned_invariant+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.5, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,0.9451219738980694,0.7489691971865146,0.6121212121212122,0.689053095801449,0.18181453934826933,28,0.6,0.9438202247191011,0.7619047619047619,0.7037037037037037,0.7523571725818917,0.12482900791342841,14
0.6552932858467102,0.0888590110083254,0.04840809106826782,0.0070594943305500035,,,1,0.6,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'basic'}",0.45,0.9570189162281326,0.8601743084501705,0.5390869293308318,0.7015700385022838,0.21218959011645713,16,0.6,0.9550561797752809,0.8571428571428571,0.5925925925925926,0.7511979073776827,0.15874427602211877,18
0.5309615135192871,0.017415944326429088,0.058602988719940186,0.00487528292757923,,,1,0.6,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'cleaned'}",0.5342657342657343,0.9396979425069313,0.846938775510204,0.5390869293308318,0.7149973454034253,0.18131966872388156,11,0.64,0.9325842696629213,0.8412698412698413,0.5925925925925926,0.7516116758813388,0.14011950378507265,16
0.6401434540748596,0.06515293943469032,0.054505765438079834,0.0076307893021550395,,,1,0.6,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'cleaned+speed'}",0.5342657342657343,0.9039593365436063,0.8616519778643165,0.6121212121212122,0.7279995651987173,0.15794413450885553,1,0.64,0.8876404494382022,0.8571428571428571,0.7037037037037037,0.7721217525711908,0.10333240593075763,3
0.5226424336433411,0.025796076254935976,0.044168174266815186,0.008754209255058059,,,1,0.6,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.6, 'feature_selector__feature_set': 'invariant'}",0.4307692307692308,0.890880517000808,0.8034319572159593,0.587737843551797,0.6782048871344487,0.18050029960897834,50,0.56,0.8764044943820225,0.7936507936507936,0.6666666666666666,0.7241804886748706,0.12068693360352793,171
