param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
basic,0.8013136288998358,0.8470617898734575,0.6601328903654485,0.4761904761904762,0.6961746963323046,0.14449323429446223,163,0.8,0.8314606741573034,0.6507936507936508,0.5555555555555556,0.7094524701266274,0.11203791145968732,174,LogisticRegression_PCA
basic,0.8415584415584415,0.8573171321349803,0.6872863978127136,0.4761904761904762,0.715588111924153,0.153352416132427,135,0.84,0.8539325842696629,0.6825396825396826,0.5555555555555556,0.7330069555912253,0.12258309859745312,140,LogisticRegression_PCA
basic,0.9595925297113752,0.826670028523252,0.7142857142857143,0.5390869293308318,0.7599088004627934,0.1542517569278413,93,0.96,0.8089887640449438,0.7142857142857143,0.5925925925925926,0.7689667677308126,0.13434407623871514,95,LogisticRegression_PCA
cleaned,0.45,0.8500901093216964,0.5952380952380952,0.41025641025641024,0.5763961537040504,0.17236719679686152,339,0.6,0.8539325842696629,0.7142857142857143,0.4444444444444444,0.6531656857499555,0.15036135818654578,294,LogisticRegression_PCA
cleaned,0.22857142857142854,0.8651823257737644,0.7007938918051277,0.4961240310077519,0.5726679192895181,0.23782467522930492,370,0.4,0.8764044943820225,0.6984126984126984,0.5925925925925926,0.6418524463468284,0.17257814487000733,335,LogisticRegression_PCA
cleaned,0.45,0.725826871340402,0.7355623100303952,0.4761904761904762,0.5968949143903184,0.13416386753841203,292,0.52,0.6629213483146067,0.746031746031746,0.5555555555555556,0.6211271624754771,0.08926680176264146,367,LogisticRegression_PCA
cleaned,0.5106960950764007,0.8353659216942079,0.7277864992150707,0.5634920634920635,0.6593351448694356,0.12937531224365253,212,0.56,0.8314606741573034,0.7301587301587301,0.6296296296296297,0.6878122584864158,0.10265145238613907,205,LogisticRegression_PCA
cleaned,0.5666666666666667,0.8342631151619916,0.7277864992150707,0.5390869293308318,0.6669508025936401,0.12052019532506955,203,0.6,0.8202247191011236,0.7301587301587301,0.5925925925925926,0.6857440104631116,0.09498282779403928,210,LogisticRegression_PCA
cleaned+speed,0.45,0.8500901093216964,0.5952380952380952,0.41025641025641024,0.5763961537040504,0.17236719679686152,339,0.6,0.8539325842696629,0.7142857142857143,0.4444444444444444,0.6531656857499555,0.15036135818654578,294,LogisticRegression_PCA
cleaned+speed,0.22857142857142854,0.8651823257737644,0.7007938918051277,0.4961240310077519,0.5726679192895181,0.23782467522930492,370,0.4,0.8764044943820225,0.6984126984126984,0.5925925925925926,0.6418524463468284,0.17257814487000733,335,LogisticRegression_PCA
cleaned+speed,0.45,0.725826871340402,0.7355623100303952,0.4761904761904762,0.5968949143903184,0.13416386753841203,292,0.52,0.6629213483146067,0.746031746031746,0.5555555555555556,0.6211271624754771,0.08926680176264146,367,LogisticRegression_PCA
cleaned+speed,0.5106960950764007,0.8353659216942079,0.7277864992150707,0.5634920634920635,0.6593351448694356,0.12937531224365253,212,0.56,0.8314606741573034,0.7301587301587301,0.6296296296296297,0.6878122584864158,0.10265145238613907,205,LogisticRegression_PCA
cleaned+speed,0.5666666666666667,0.8342631151619916,0.7277864992150707,0.5390869293308318,0.6669508025936401,0.12052019532506955,203,0.6,0.8202247191011236,0.7301587301587301,0.5925925925925926,0.6857440104631116,0.09498282779403928,210,LogisticRegression_PCA
basic,0.45,0.7806614970723216,0.6484865629420086,0.4196078431372549,0.5746889757878962,0.14787516845406487,349,0.6,0.7303370786516854,0.6984126984126984,0.4074074074074074,0.6090392961179478,0.12593439214986996,387,LogisticRegression_PCA
basic,0.21176470588235294,0.7020901636884818,0.6426676771504358,0.4761904761904762,0.5081782557279367,0.1901140730556624,426,0.36,0.6292134831460674,0.6349206349206349,0.5555555555555556,0.5449224184055645,0.11125873786538558,426,LogisticRegression_PCA
basic,0.72,0.8235454669517355,0.6326530612244898,0.4761904761904762,0.6630972510916754,0.1273209959184237,208,0.72,0.797752808988764,0.6190476190476191,0.5555555555555556,0.6730889958979847,0.09283895816251202,252,LogisticRegression_PCA
basic,0.7136876006441224,0.8391945133518167,0.6601328903654485,0.5390869293308318,0.6880254834230548,0.10778602589439643,173,0.72,0.8202247191011236,0.6507936507936508,0.5925925925925926,0.6959027406218418,0.08477093976342133,185,LogisticRegression_PCA
basic,0.8019323671497584,0.8381642826124831,0.6737400530503977,0.5952380952380951,0.7272686995126836,0.09768557988933355,115,0.8,0.8089887640449438,0.6666666666666666,0.6296296296296297,0.72632126508531,0.07932593340524587,151,LogisticRegression_PCA
cleaned,0.5411764705882353,0.7638759820900565,0.6596638655462185,0.46271929824561403,0.606858904117531,0.11460053968214681,279,0.56,0.7078651685393258,0.7142857142857143,0.48148148148148145,0.6159080910766304,0.09915957954079378,373,LogisticRegression_PCA
cleaned,0.22857142857142854,0.8280756649125302,0.6601328903654485,0.4961240310077519,0.5532260037142898,0.22115189752882586,405,0.4,0.8202247191011236,0.6507936507936508,0.5925925925925926,0.6159027406218417,0.15010180121460331,379,LogisticRegression_PCA
cleaned,0.3836007130124777,0.7010315688676372,0.7222454964390448,0.4761904761904762,0.5707670636274089,0.14481931037181978,374,0.48,0.6292134831460674,0.7301587301587301,0.5555555555555556,0.5987319422150883,0.09241698896016155,397,LogisticRegression_PCA
cleaned,0.45,0.826670028523252,0.7185577580314423,0.5390869293308318,0.6335786789713815,0.14759364423364288,248,0.52,0.8089887640449438,0.7142857142857143,0.5925925925925926,0.6589667677308126,0.11100008883425498,288,LogisticRegression_PCA
cleaned,0.5106960950764007,0.8351315822109779,0.7322892716151144,0.5390869293308318,0.6543009695583313,0.1347947706427687,222,0.56,0.8089887640449438,0.7301587301587301,0.5925925925925926,0.6729350216990666,0.1012353676551485,253,LogisticRegression_PCA
cleaned+speed,0.5411764705882353,0.7638759820900565,0.6596638655462185,0.46271929824561403,0.606858904117531,0.11460053968214681,279,0.56,0.7078651685393258,0.7142857142857143,0.48148148148148145,0.6159080910766304,0.09915957954079378,373,LogisticRegression_PCA
cleaned+speed,0.22857142857142854,0.8280756649125302,0.6601328903654485,0.4961240310077519,0.5532260037142898,0.22115189752882586,405,0.4,0.8202247191011236,0.6507936507936508,0.5925925925925926,0.6159027406218417,0.15010180121460331,379,LogisticRegression_PCA
cleaned+speed,0.3836007130124777,0.7010315688676372,0.7222454964390448,0.4761904761904762,0.5707670636274089,0.14481931037181978,374,0.48,0.6292134831460674,0.7301587301587301,0.5555555555555556,0.5987319422150883,0.09241698896016155,397,LogisticRegression_PCA
cleaned+speed,0.45,0.826670028523252,0.7185577580314423,0.5390869293308318,0.6335786789713815,0.14759364423364288,248,0.52,0.8089887640449438,0.7142857142857143,0.5925925925925926,0.6589667677308126,0.11100008883425498,288,LogisticRegression_PCA
cleaned+speed,0.5106960950764007,0.8351315822109779,0.7322892716151144,0.5390869293308318,0.6543009695583313,0.1347947706427687,222,0.56,0.8089887640449438,0.7301587301587301,0.5925925925925926,0.6729350216990666,0.1012353676551485,253,LogisticRegression_PCA
basic,0.45,0.8510072468585864,0.6596638655462185,0.46271929824561403,0.6058476026626047,0.1641444699601714,286,0.6,0.898876404494382,0.7142857142857143,0.48148148148148145,0.6736609000653945,0.1538922156018082,242,LogisticRegression_PCA
basic,0.21176470588235294,0.8651685393258427,0.6247436773752563,0.4761904761904762,0.544466849693482,0.23698434677787447,409,0.36,0.8651685393258427,0.6190476190476191,0.5555555555555556,0.5999429284822544,0.1804525295284933,396,LogisticRegression_PCA
basic,0.8415584415584415,0.8500901093216964,0.6737400530503977,0.4761904761904762,0.710394770030253,0.15240892040688417,150,0.84,0.8539325842696629,0.6666666666666666,0.5555555555555556,0.7290387016229714,0.12439610562043366,146,LogisticRegression_PCA
basic,0.8787775891341256,0.8475511881924599,0.7089879430032883,0.4761904761904762,0.7278767991300875,0.15874177290645342,113,0.88,0.8651685393258427,0.7142857142857143,0.5555555555555556,0.7537524522917782,0.13152150112912162,109,LogisticRegression_PCA
basic,0.8748663101604278,0.8475511881924599,0.7089879430032883,0.4761904761904762,0.726898979386663,0.15781860256733782,116,0.88,0.8651685393258427,0.7142857142857143,0.5555555555555556,0.7537524522917782,0.13152150112912162,109,LogisticRegression_PCA
cleaned,0.6057142857142856,0.8510072468585864,0.6215633423180593,0.41025641025641024,0.6221353212868354,0.15616098170123646,262,0.64,0.898876404494382,0.7142857142857143,0.4444444444444444,0.6744016408061353,0.16282156176233406,240,LogisticRegression_PCA
cleaned,0.22857142857142854,0.833897387302017,0.7277864992150707,0.4961240310077519,0.5715948365240671,0.2326796964324149,372,0.4,0.8651685393258427,0.7301587301587301,0.5925925925925926,0.6469799655192914,0.17210610849738758,314,LogisticRegression_PCA
cleaned,0.45,0.778892455858748,0.7073282210146767,0.4761904761904762,0.6031027882659752,0.14257642406372498,290,0.52,0.7528089887640449,0.7301587301587301,0.5555555555555556,0.6396308186195827,0.10293782539446492,342,LogisticRegression_PCA
cleaned,0.7136876006441224,0.8280558392917944,0.7686170212765958,0.5634920634920635,0.718463131176144,0.09818962760309319,127,0.72,0.8539325842696629,0.7777777777777778,0.6296296296296297,0.7453349979192676,0.0819688417886476,118,LogisticRegression_PCA
cleaned,0.881159420289855,0.8270270492173422,0.7686170212765958,0.5390869293308318,0.7539726050286562,0.13029174027865084,99,0.88,0.8314606741573034,0.7777777777777778,0.5925925925925926,0.7704577611319184,0.10886971378330268,92,LogisticRegression_PCA
cleaned+speed,0.6057142857142856,0.8510072468585864,0.6215633423180593,0.41025641025641024,0.6221353212868354,0.15616098170123646,262,0.64,0.898876404494382,0.7142857142857143,0.4444444444444444,0.6744016408061353,0.16282156176233406,240,LogisticRegression_PCA
cleaned+speed,0.22857142857142854,0.833897387302017,0.7277864992150707,0.4961240310077519,0.5715948365240671,0.2326796964324149,372,0.4,0.8651685393258427,0.7301587301587301,0.5925925925925926,0.6469799655192914,0.17210610849738758,314,LogisticRegression_PCA
cleaned+speed,0.45,0.778892455858748,0.7073282210146767,0.4761904761904762,0.6031027882659752,0.14257642406372498,290,0.52,0.7528089887640449,0.7301587301587301,0.5555555555555556,0.6396308186195827,0.10293782539446492,342,LogisticRegression_PCA
cleaned+speed,0.7136876006441224,0.8280558392917944,0.7686170212765958,0.5634920634920635,0.718463131176144,0.09818962760309319,127,0.72,0.8539325842696629,0.7777777777777778,0.6296296296296297,0.7453349979192676,0.0819688417886476,118,LogisticRegression_PCA
cleaned+speed,0.881159420289855,0.8270270492173422,0.7686170212765958,0.5390869293308318,0.7539726050286562,0.13029174027865084,99,0.88,0.8314606741573034,0.7777777777777778,0.5925925925925926,0.7704577611319184,0.10886971378330268,92,LogisticRegression_PCA
basic,0.5555178268251274,0.8762974852862493,0.6736263736263737,0.4196078431372549,0.6312623822187512,0.16760950979051198,250,0.56,0.9101123595505618,0.7142857142857143,0.4074074074074074,0.6479513703109209,0.1862293418735142,313,LogisticRegression_PCA
basic,0.21176470588235294,0.7887105403959337,0.6426676771504358,0.4761904761904762,0.5298333499047997,0.21435613203974768,413,0.36,0.7528089887640449,0.6349206349206349,0.5555555555555556,0.5758212948100588,0.14300953402979574,411,LogisticRegression_PCA
basic,0.5844155844155844,0.8342631151619916,0.6464439434310308,0.4761904761904762,0.6353282797997708,0.13001497008751586,247,0.6,0.8202247191011236,0.6349206349206349,0.5555555555555556,0.6526752273943286,0.10074096481102846,296,LogisticRegression_PCA
basic,0.8415584415584415,0.833836177000971,0.6872863978127136,0.5390869293308318,0.7254419864257395,0.12391164992676959,118,0.84,0.8426966292134831,0.6825396825396826,0.5925925925925926,0.7394572260864396,0.10674274106343311,126,LogisticRegression_PCA
basic,0.9595925297113752,0.8426966292134831,0.7007938918051277,0.5390869293308318,0.7605424950152044,0.15730756596279488,92,0.96,0.8426966292134831,0.6984126984126984,0.5925925925925926,0.7734254800546936,0.13958509429390314,89,LogisticRegression_PCA
cleaned,0.6318840579710144,0.8475511881924599,0.6484865629420086,0.46271929824561403,0.6476602768377742,0.13639016994938694,226,0.64,0.8651685393258427,0.6984126984126984,0.48148148148148145,0.6712656798050056,0.137232343323846,258,LogisticRegression_PCA
cleaned,0.22857142857142854,0.8651823257737644,0.6872863978127136,0.4961240310077519,0.5692910457914147,0.23607086980349257,380,0.4,0.8764044943820225,0.6825396825396826,0.5925925925925926,0.6378841923785744,0.17141051985228695,347,LogisticRegression_PCA
cleaned,0.3836007130124777,0.7498855271036596,0.7355623100303952,0.4761904761904762,0.5863097565842522,0.15988321493471275,314,0.48,0.6966292134831461,0.746031746031746,0.5555555555555556,0.6195541287676118,0.10666340584050572,369,LogisticRegression_PCA
cleaned,0.5106960950764007,0.8270270492173422,0.7142857142857143,0.5390869293308318,0.6477739469775723,0.12957497360583972,224,0.56,0.8314606741573034,0.7142857142857143,0.5925925925925926,0.6745847452589026,0.10728303798167146,238,LogisticRegression_PCA
cleaned,0.6187192118226601,0.8202247191011236,0.7277864992150707,0.5390869293308318,0.6764543398674217,0.10666309462059491,191,0.64,0.8202247191011236,0.7301587301587301,0.5925925925925926,0.6957440104631116,0.08721729969730713,186,LogisticRegression_PCA
cleaned+speed,0.6318840579710144,0.8475511881924599,0.6484865629420086,0.46271929824561403,0.6476602768377742,0.13639016994938694,226,0.64,0.8651685393258427,0.6984126984126984,0.48148148148148145,0.6712656798050056,0.137232343323846,258,LogisticRegression_PCA
cleaned+speed,0.22857142857142854,0.8651823257737644,0.6872863978127136,0.4961240310077519,0.5692910457914147,0.23607086980349257,380,0.4,0.8764044943820225,0.6825396825396826,0.5925925925925926,0.6378841923785744,0.17141051985228695,347,LogisticRegression_PCA
cleaned+speed,0.3836007130124777,0.7498855271036596,0.7355623100303952,0.4761904761904762,0.5863097565842522,0.15988321493471275,314,0.48,0.6966292134831461,0.746031746031746,0.5555555555555556,0.6195541287676118,0.10666340584050572,369,LogisticRegression_PCA
cleaned+speed,0.5106960950764007,0.8270270492173422,0.7142857142857143,0.5390869293308318,0.6477739469775723,0.12957497360583972,224,0.56,0.8314606741573034,0.7142857142857143,0.5925925925925926,0.6745847452589026,0.10728303798167146,238,LogisticRegression_PCA
cleaned+speed,0.6187192118226601,0.8202247191011236,0.7277864992150707,0.5390869293308318,0.6764543398674217,0.10666309462059491,191,0.64,0.8202247191011236,0.7301587301587301,0.5925925925925926,0.6957440104631116,0.08721729969730713,186,LogisticRegression_PCA
basic,0.5339901477832513,0.7963390133194435,0.6820276497695853,0.4600280504908835,0.6180962153407908,0.13030454585162493,270,0.56,0.7640449438202247,0.6984126984126984,0.4444444444444444,0.6167255216693419,0.12376829295663777,372,LogisticRegression_PCA
