param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
cleaned+speed,0.8807881773399014,0.8280558392917944,0.7489691971865146,0.4961240310077519,0.7384843112064906,0.14758208496636485,105,0.88,0.8539325842696629,0.7619047619047619,0.5925925925925926,0.7721074846917544,0.11254536176373128,90,LogisticRegression_PCA
cleaned+speed,0.92,0.8270270492173422,0.7625000000000001,0.5634920634920635,0.7682547781773514,0.13080680313573348,81,0.92,0.8314606741573034,0.7777777777777778,0.6296296296296297,0.7897170203911777,0.1054593589973422,71,LogisticRegression_PCA
basic,0.45,0.8510072468585864,0.5952380952380952,0.41025641025641024,0.5766254380882729,0.17273133979030256,330,0.6,0.898876404494382,0.7142857142857143,0.4444444444444444,0.6644016408061353,0.16582790413814036,274,LogisticRegression_PCA
basic,0.4181818181818182,0.8115208930013954,0.6317111459968603,0.4961240310077519,0.5893844720469564,0.14928495854857787,294,0.44,0.7865168539325843,0.6349206349206349,0.5925925925925926,0.613507520361453,0.1234230983278741,381,LogisticRegression_PCA
basic,0.7809523809523808,0.8353659216942079,0.6872863978127136,0.4761904761904762,0.6949487941624447,0.13695574161453652,167,0.8,0.8314606741573034,0.6825396825396826,0.5555555555555556,0.7173889780631353,0.10867550647943992,166,LogisticRegression_PCA
basic,0.8787775891341256,0.8406700213689944,0.7089879430032883,0.4761904761904762,0.7261565074242211,0.15746770766835527,117,0.88,0.8539325842696629,0.7142857142857143,0.5555555555555556,0.7509434635277332,0.12921162269572367,113,LogisticRegression_PCA
basic,0.8748663101604278,0.8500901093216964,0.7089879430032883,0.4761904761904762,0.7275337096689722,0.1583069271542285,114,0.88,0.8539325842696629,0.7142857142857143,0.5555555555555556,0.7509434635277332,0.12921162269572367,113,LogisticRegression_PCA
cleaned,0.45,0.8510072468585864,0.5952380952380952,0.43333333333333335,0.5823946688575037,0.16738077902772974,320,0.6,0.898876404494382,0.7142857142857143,0.48148148148148145,0.6736609000653945,0.1538922156018082,242,LogisticRegression_PCA
cleaned,0.22857142857142854,0.8475511881924599,0.7277864992150707,0.4961240310077519,0.5750082867466777,0.23657030553270245,341,0.4,0.8651685393258427,0.7301587301587301,0.5925925925925926,0.6469799655192914,0.17210610849738758,314,LogisticRegression_PCA
cleaned,0.6318840579710144,0.7468248626018004,0.7073282210146767,0.4961240310077519,0.6455402931488109,0.09563998142862618,233,0.64,0.6966292134831461,0.7301587301587301,0.5925925925925926,0.6648451340586172,0.05271101397024088,272,LogisticRegression_PCA
cleaned,0.7136876006441224,0.8270270492173422,0.7686170212765958,0.5634920634920635,0.718205933657531,0.09790315355162979,129,0.72,0.8314606741573034,0.7777777777777778,0.6296296296296297,0.7397170203911777,0.07478889248577003,124,LogisticRegression_PCA
cleaned,0.881159420289855,0.8202247191011236,0.7686170212765958,0.5634920634920635,0.7583733060399096,0.1193583465337807,94,0.88,0.8202247191011236,0.7777777777777778,0.6296296296296297,0.7769080316271327,0.09246076669325258,84,LogisticRegression_PCA
cleaned+speed,0.45,0.8510072468585864,0.5952380952380952,0.43333333333333335,0.5823946688575037,0.16738077902772974,320,0.6,0.898876404494382,0.7142857142857143,0.48148148148148145,0.6736609000653945,0.1538922156018082,242,LogisticRegression_PCA
cleaned+speed,0.22857142857142854,0.8475511881924599,0.7277864992150707,0.4961240310077519,0.5750082867466777,0.23657030553270245,341,0.4,0.8651685393258427,0.7301587301587301,0.5925925925925926,0.6469799655192914,0.17210610849738758,314,LogisticRegression_PCA
cleaned+speed,0.6318840579710144,0.7468248626018004,0.7073282210146767,0.4961240310077519,0.6455402931488109,0.09563998142862618,233,0.64,0.6966292134831461,0.7301587301587301,0.5925925925925926,0.6648451340586172,0.05271101397024088,272,LogisticRegression_PCA
cleaned+speed,0.7136876006441224,0.8270270492173422,0.7686170212765958,0.5634920634920635,0.718205933657531,0.09790315355162979,129,0.72,0.8314606741573034,0.7777777777777778,0.6296296296296297,0.7397170203911777,0.07478889248577003,124,LogisticRegression_PCA
cleaned+speed,0.881159420289855,0.8202247191011236,0.7686170212765958,0.5634920634920635,0.7583733060399096,0.1193583465337807,94,0.88,0.8202247191011236,0.7777777777777778,0.6296296296296297,0.7769080316271327,0.09246076669325258,84,LogisticRegression_PCA
basic,0.45,0.8688200718073558,0.6426073926073926,0.46271929824561403,0.6060366906650906,0.16976442902500594,285,0.6,0.898876404494382,0.7142857142857143,0.48148148148148145,0.6736609000653945,0.1538922156018082,242,LogisticRegression_PCA
basic,0.33276740237691,0.7498855271036596,0.6378031321851547,0.4961240310077519,0.554145023168369,0.15627500648191903,404,0.4,0.6966292134831461,0.6349206349206349,0.5925925925925926,0.5810356102490934,0.11087485401527462,409,LogisticRegression_PCA
