mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__balance_probabilities,param_clf__n_estimators,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.40195488929748535,0.08690668322298321,0.7458170056343079,0.02870653814414278,False,4,basic,"{'clf__balance_probabilities': False, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'basic'}",0.5342657342657343,0.9890243947796139,0.8036045587065996,0.9232456140350876,0.812535075446759,0.17386696319575784,6,0.64,0.9887640449438202,0.7936507936507936,0.9259259259259259,0.8370851911301349,0.13381729176426024,4
0.3664344549179077,0.06798946436662318,0.707798182964325,0.028226710198786992,False,4,cleaned,"{'clf__balance_probabilities': False, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'cleaned'}",0.5342657342657343,0.9890243947796139,0.8336731945673503,0.882051282051282,0.8097536514159952,0.1686940157963371,8,0.64,0.9887640449438202,0.8253968253968254,0.8888888888888888,0.8357624398073836,0.12714390426578037,6
0.34197092056274414,0.022429538504040208,0.7375504970550537,0.08158313083821467,False,4,cleaned+speed,"{'clf__balance_probabilities': False, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,0.9890243947796139,0.7884210526315789,0.882051282051282,0.7773741823656187,0.2018966296373728,28,0.6,0.9887640449438202,0.7777777777777778,0.8888888888888888,0.8138576779026216,0.14427299248693118,17
0.354412317276001,0.022781169044205518,0.7081387639045715,0.03791503106248584,False,4,invariant,"{'clf__balance_probabilities': False, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'invariant'}",0.45,1.0,0.7731092436974789,0.7366189719130896,0.7399320539026422,0.1954530857408338,46,0.6,1.0,0.7619047619047619,0.7407407407407407,0.7756613756613757,0.14369536564787178,45
0.3507474660873413,0.024842563594444134,0.740079939365387,0.02326480608109358,False,4,cleaned_invariant,"{'clf__balance_probabilities': False, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,1.0,0.7884210526315789,0.7366189719130896,0.7437600061361671,0.19621383686191612,41,0.6,1.0,0.7777777777777778,0.7407407407407407,0.7796296296296297,0.14347968411272177,40
0.388181209564209,0.08242434815079991,0.7066500782966614,0.03604752740418857,False,4,cleaned_invariant+speed,"{'clf__balance_probabilities': False, 'clf__n_estimators': 4, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.5342657342657343,0.9884684699478227,0.7884210526315789,0.8034188034188035,0.7786435150659847,0.16159859729730988,26,0.64,0.9887640449438202,0.7777777777777778,0.8148148148148148,0.8053391593841032,0.12432934495758455,27
0.49479997158050537,0.018487978230011665,1.3729488849639893,0.06890551785129254,False,8,basic,"{'clf__balance_probabilities': False, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'basic'}",0.45,0.9890243947796139,0.8932474082376015,0.8917748917748917,0.8060116736980267,0.2092865086684496,11,0.6,0.9887640449438202,0.8888888888888888,0.8888888888888888,0.8416354556803994,0.14534466718846017,2
0.49988842010498047,0.013428808598862486,1.4456554055213928,0.044381524047466404,False,8,cleaned,"{'clf__balance_probabilities': False, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'cleaned'}",0.45,0.9890243947796139,0.923139987702398,0.8549019607843137,0.8042665858165815,0.20996135875023964,12,0.6,0.9887640449438202,0.9206349206349206,0.8518518518518519,0.8403127043576482,0.14694625441815792,3
0.548839807510376,0.09243452508739351,1.394450306892395,0.048285253478147945,False,8,cleaned+speed,"{'clf__balance_probabilities': False, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,1.0,0.7884210526315789,0.7777777777777778,0.7540497076023391,0.19664827846750424,37,0.6,1.0,0.7777777777777778,0.7777777777777778,0.7888888888888889,0.14185717038670784,37
0.5189847946166992,0.046108250271754046,1.3827056884765625,0.07408685448567427,False,8,invariant,"{'clf__balance_probabilities': False, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'invariant'}",0.45,1.0,0.7884210526315789,0.7366189719130896,0.7437600061361671,0.19621383686191612,41,0.6,1.0,0.7777777777777778,0.7407407407407407,0.7796296296296297,0.14347968411272177,40
0.46699047088623047,0.030532982264732743,1.3716556429862976,0.03960715843513494,False,8,cleaned_invariant,"{'clf__balance_probabilities': False, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'cleaned_invariant'}",0.45,1.0,0.7884210526315789,0.7366189719130896,0.7437600061361671,0.19621383686191612,41,0.6,1.0,0.7777777777777778,0.7407407407407407,0.7796296296296297,0.14347968411272177,40
0.4512031674385071,0.043825771497242864,1.3588183522224426,0.08574541491077388,False,8,cleaned_invariant+speed,"{'clf__balance_probabilities': False, 'clf__n_estimators': 8, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.45,1.0,0.7884210526315789,0.7777777777777778,0.7540497076023391,0.19664827846750424,37,0.6,1.0,0.7777777777777778,0.7777777777777778,0.7888888888888889,0.14185717038670784,37
0.7504886984825134,0.028052455878744904,2.5831271409988403,0.04785166133309092,False,16,basic,"{'clf__balance_probabilities': False, 'clf__n_estimators': 16, 'feature_selector__feature_set': 'basic'}",0.45,1.0,0.7884210526315789,0.8871224165341812,0.78138586729144,0.20544977715913232,23,0.6,1.0,0.7777777777777778,0.8888888888888888,0.8166666666666667,0.14771928667009257,14
0.7932589650154114,0.05785247321817041,2.696280300617218,0.08325494343770591,False,16,cleaned,"{'clf__balance_probabilities': False, 'clf__n_estimators': 16, 'feature_selector__feature_set': 'cleaned'}",0.45,1.0,0.8634920634920634,0.8118706942236356,0.7813406894289248,0.2032728929443618,24,0.6,1.0,0.8571428571428571,0.8148148148148148,0.817989417989418,0.14334426062983327,12
0.7607589364051819,0.02682193172321951,2.7668115496635437,0.13876074972655708,False,16,cleaned+speed,"{'clf__balance_probabilities': False, 'clf__n_estimators': 16, 'feature_selector__feature_set': 'cleaned+speed'}",0.45,1.0,0.8186813186813187,0.8118706942236356,0.7701380032262386,0.19963901775690007,32,0.6,1.0,0.8095238095238095,0.8148148148148148,0.8060846560846562,0.14156455199587298,26
