param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
basic,0.5840000000000001,0.8877740616871053,0.8072463768115942,1.0,1.0,1.0,0.8798367397497833,0.1506482469190507,986,0.68,0.8913043478260869,0.8260869565217391,1.0,1.0,1.0,0.8995652173913044,0.11827765226184812,915,LogisticRegression_PCA
basic,0.6213381555153706,0.8590153452685422,0.9553495311167945,1.0,1.0,1.0,0.9059505053167846,0.1367377569222263,839,0.7,0.8695652173913043,0.9565217391304348,1.0,1.0,1.0,0.9210144927536232,0.10914159728888509,613,LogisticRegression_PCA
basic,0.5840000000000001,0.8844905905256328,0.9553495311167945,1.0,1.0,1.0,0.9039733536070713,0.14892133669814386,859,0.68,0.8913043478260869,0.9565217391304348,1.0,1.0,1.0,0.9213043478260871,0.11470765009600797,607,LogisticRegression_PCA
basic,0.6213381555153706,0.8844905905256328,0.9553495311167945,1.0,1.0,1.0,0.9101963795262996,0.1356052721541474,788,0.7,0.8913043478260869,0.9565217391304348,1.0,1.0,1.0,0.9246376811594202,0.10772513585013412,532,LogisticRegression_PCA
cleaned,0.5840000000000001,0.6568759600012538,0.711918158567775,1.0,0.9743589743589742,1.0,0.8211921821546673,0.17445405414621742,1251,0.68,0.717391304347826,0.7608695652173914,1.0,0.95,1.0,0.851376811594203,0.1350419236793474,1189,LogisticRegression_PCA
cleaned,0.6884697910784868,0.7555053642010163,0.8072463768115942,1.0,1.0,1.0,0.8752035886818496,0.12944612237663675,1004,0.74,0.782608695652174,0.8260869565217391,1.0,1.0,1.0,0.8914492753623189,0.1113591539282743,957,LogisticRegression_PCA
cleaned,0.6213381555153706,0.804404291360813,0.9553495311167945,1.0,1.0,1.0,0.8968486629988298,0.14130047660174602,901,0.7,0.8260869565217391,0.9565217391304348,1.0,1.0,1.0,0.913768115942029,0.1136665290011307,748,LogisticRegression_PCA
cleaned,0.5840000000000001,0.804404291360813,0.9553495311167945,1.0,1.0,1.0,0.8906256370796012,0.15358539319875508,943,0.68,0.8260869565217391,0.9565217391304348,1.0,1.0,1.0,0.9104347826086956,0.12000315055725534,800,LogisticRegression_PCA
cleaned,0.5840000000000001,0.804404291360813,0.9553495311167945,1.0,1.0,1.0,0.8906256370796012,0.15358539319875508,943,0.68,0.8260869565217391,0.9565217391304348,1.0,1.0,1.0,0.9104347826086956,0.12000315055725534,800,LogisticRegression_PCA
cleaned+speed,0.5840000000000001,0.7247834835097542,0.711918158567775,1.0,0.9743589743589742,1.0,0.8325101027394172,0.16539424939709346,1242,0.68,0.7608695652173914,0.7608695652173914,1.0,0.95,1.0,0.8586231884057972,0.1286742091092736,1143,LogisticRegression_PCA
