mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__C,param_clf__estimator__class_weight,param_clf__threshold,param_feature_selector__feature_set,param_pca__n_components,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.042039334774017334,0.005388784782235609,0.007271766662597656,0.0006650463717788985,0.1,,0.2,cleaned+speed,0.8,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.8}",0.5771309771309772,0.9287869330004161,0.7413226160029229,0.5151515151515151,0.6905980103214578,0.16043938792965498,1055,0.64,0.9325842696629213,0.746031746031746,0.6296296296296297,0.7370614113310743,0.12172937230186522,980
0.03651142120361328,0.004521462351138738,0.006576061248779297,0.0008891490794496788,0.1,,0.2,cleaned+speed,0.9,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.9}",0.7809523809523808,0.9101123595505618,0.733044733044733,0.587737843551797,0.7529618292748682,0.11529897693561865,721,0.8,0.9101123595505618,0.7619047619047619,0.6666666666666666,0.7846709470304976,0.08719781707321524,422
0.0354885458946228,0.007150507079502598,0.007136404514312744,0.000934068636774719,0.1,,0.2,cleaned+speed,0.95,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.95}",0.7285714285714286,0.9387192389880746,0.8042328042328042,0.587737843551797,0.7648153288360261,0.12695113571154437,534,0.76,0.9438202247191011,0.8253968253968254,0.6666666666666666,0.7989709291956483,0.10087467175830844,104
0.03360247611999512,0.00673591117712192,0.006768286228179932,0.00019071440102667864,0.1,,0.2,cleaned+speed,0.99,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.99}",0.45,0.9387192389880746,0.8186813186813188,0.587737843551797,0.6987846003052977,0.1911602818655797,1029,0.6,0.9438202247191011,0.8412698412698413,0.6666666666666666,0.7629391831639022,0.1366301742261142,778
0.03275787830352783,0.004291942446239873,0.00797414779663086,0.0007800554389676717,0.1,,0.2,cleaned+speed,0.999,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned+speed', 'pca__n_components': 0.999}",0.45,0.9550561797752809,0.8398268398268398,0.587737843551797,0.7081552157884794,0.19965092134128462,996,0.6,0.9550561797752809,0.8571428571428571,0.6666666666666666,0.7697164258962012,0.14266842971092963,682
0.02654320001602173,0.004415305634281856,0.005547463893890381,0.000277130672565062,0.1,,0.2,invariant,0.8,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'invariant', 'pca__n_components': 0.8}",0.45,0.9074146826955816,0.6618566618566618,0.6121212121212122,0.6578481391683639,0.16400558581584374,1182,0.6,0.9213483146067416,0.6984126984126984,0.7037037037037037,0.7308661791807859,0.11747385800446988,1030
0.03139275312423706,0.0070144173052310325,0.008015096187591553,0.003418379648000577,0.1,,0.2,invariant,0.9,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'invariant', 'pca__n_components': 0.9}",0.5342657342657343,0.9525246220002775,0.7964285714285714,0.6121212121212122,0.7238350349539489,0.16277687699473434,926,0.64,0.9550561797752809,0.8095238095238095,0.7037037037037037,0.7770709232506986,0.11927188297376785,569
0.03426545858383179,0.009687047188986912,0.005707144737243652,0.0003007277084905132,0.1,,0.2,invariant,0.95,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'invariant', 'pca__n_components': 0.95}",0.45,0.9632315433928449,0.7489691971865146,0.6121212121212122,0.693580488175143,0.18824629381533517,1045,0.6,0.9662921348314607,0.7619047619047619,0.7037037037037037,0.7579751501099815,0.13352241939053472,838
0.030998408794403076,0.0063689301352255565,0.006350994110107422,0.001569347823807359,0.1,,0.2,invariant,0.99,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'invariant', 'pca__n_components': 0.99}",0.45,0.9762623110001387,0.8186813186813188,0.6121212121212122,0.7142662104506674,0.19988415532479567,962,0.6,0.9775280898876404,0.8412698412698413,0.7037037037037037,0.7806254087152964,0.14229450097261215,506
0.028705954551696777,0.004430090915476594,0.0064122676849365234,0.0004293499933596206,0.1,,0.2,invariant,0.999,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'invariant', 'pca__n_components': 0.999}",0.45,0.9762623110001387,0.8186813186813188,0.6121212121212122,0.7142662104506674,0.19988415532479567,962,0.6,0.9775280898876404,0.8412698412698413,0.7037037037037037,0.7806254087152964,0.14229450097261215,506
0.02753990888595581,0.0034350551493200743,0.009667754173278809,0.002833322184244898,0.1,,0.2,cleaned_invariant,0.8,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant', 'pca__n_components': 0.8}",0.45,0.8962162295304053,0.6854879773691654,0.6121212121212122,0.6609563547551958,0.16034062488574363,1170,0.6,0.898876404494382,0.7301587301587301,0.7037037037037037,0.733184709589204,0.10731983843684932,1012
0.031966984272003174,0.004337365010114595,0.006442725658416748,0.00029056942766806715,0.1,,0.2,cleaned_invariant,0.9,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant', 'pca__n_components': 0.9}",0.7285714285714286,0.9423423497391142,0.8042328042328042,0.6121212121212122,0.7718169486661398,0.11989850226556902,379,0.76,0.9438202247191011,0.8253968253968254,0.7037037037037037,0.8082301884549076,0.08934664018705527,22
0.026327669620513916,0.005563290442714194,0.005701243877410889,0.00029815005345503197,0.1,,0.2,cleaned_invariant,0.95,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant', 'pca__n_components': 0.95}",0.6070175438596492,0.9491837293974866,0.7964922206506364,0.6121212121212122,0.7412036765072461,0.1422855634987375,828,0.68,0.9550561797752809,0.8253968253968254,0.7037037037037037,0.7910391772189526,0.10958924323065629,255
0.02716153860092163,0.003328289182675821,0.005817055702209473,0.000131416063436497,0.1,,0.2,cleaned_invariant,0.99,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant', 'pca__n_components': 0.99}",0.45,0.9632315433928449,0.8186813186813188,0.6121212121212122,0.711008518548844,0.19564894088481538,979,0.6,0.9662921348314607,0.8412698412698413,0.7037037037037037,0.7778164199512514,0.13843843910788448,562
0.03300976753234863,0.007914615296201528,0.009546458721160889,0.002318284115567163,0.1,,0.2,cleaned_invariant,0.999,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant', 'pca__n_components': 0.999}",0.45,0.9762623110001387,0.7964922206506364,0.6121212121212122,0.7087189359429968,0.19719927428134787,995,0.6,0.9775280898876404,0.8253968253968254,0.7037037037037037,0.7766571547470423,0.14076100704897018,581
0.0369797945022583,0.004171032257380631,0.012149214744567871,0.0030148685395578923,0.1,,0.2,cleaned_invariant+speed,0.8,"{'clf__estimator__C': 0.1, 'clf__estimator__class_weight': None, 'clf__threshold': 0.2, 'feature_selector__feature_set': 'cleaned_invariant+speed', 'pca__n_components': 0.8}",0.45,0.9192792896347597,0.6736263736263737,0.6121212121212122,0.6637567188455864,0.16863225868329135,1160,0.6,0.9213483146067416,0.7142857142857143,0.7037037037037037,0.73483443314904,0.1165752166004456,1001
