mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__learning_rate,param_clf__estimator__max_depth,param_clf__threshold,param_embedding__n_estimators_tabpfn,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.2484404444694519,0.020055523316503884,0.005438566207885742,0.00017477699962089213,0.01,3,0.6,1,cleaned+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.2718926668167114,0.021201629542264802,0.005109548568725586,0.0006459017831508396,0.01,3,0.6,1,invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.841025641025641,0.018573721623480855,0.12698412698412698,0.5333333333333333,0.37997920574164556,0.3281393521675262,196,0.84,0.10112359550561797,0.2857142857142857,0.5555555555555556,0.4455983591938648,0.27922617135253996,199
0.30883127450942993,0.09003681380099629,0.004409968852996826,4.6460855218891424e-05,0.01,3,0.6,1,cleaned_invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.841025641025641,0.018573721623480855,0.12698412698412698,0.5802298850574713,0.39170334367268,0.3341910988640457,151,0.84,0.10112359550561797,0.2857142857142857,0.5925925925925926,0.45485761845312406,0.2833031958721202,154
0.25944405794143677,0.014396685884195543,0.0044127702713012695,8.450795218706457e-05,0.01,3,0.6,1,cleaned_invariant+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.6, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",1.0,0.0628083036448342,0.12698412698412698,0.6666666666666666,0.4641147743239069,0.3882345299474863,97,1.0,0.12359550561797752,0.2857142857142857,0.6666666666666666,0.5189941144997324,0.3405632771502187,103
0.2570333480834961,0.02099469780334267,0.005421161651611328,0.00021989141460391037,0.01,3,0.7,1,basic,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.7, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'basic'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.2525036334991455,0.0146115147202497,0.005234956741333008,0.0001542126866606208,0.01,3,0.7,1,cleaned,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.7, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.25965625047683716,0.021162424707597206,0.005476057529449463,0.00024128433592067022,0.01,3,0.7,1,cleaned+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.7, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned+speed'}",0.22857142857142854,0.018573721623480855,0.12698412698412698,0.16666666666666666,0.13519898596142577,0.07644861698853303,244,0.4,0.10112359550561797,0.2857142857142857,0.3333333333333333,0.28004280363830925,0.1109885785361504,244
0.2608757019042969,0.015347938391921181,0.004508912563323975,0.00021641476340730488,0.01,3,0.7,1,invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.7, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'invariant'}",0.841025641025641,0.018573721623480855,0.12698412698412698,0.5333333333333333,0.37997920574164556,0.3281393521675262,196,0.84,0.10112359550561797,0.2857142857142857,0.5555555555555556,0.4455983591938648,0.27922617135253996,199
0.26160550117492676,0.018330989724564987,0.00457686185836792,0.000249789199362298,0.01,3,0.7,1,cleaned_invariant,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.7, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant'}",0.841025641025641,0.018573721623480855,0.12698412698412698,0.5802298850574713,0.39170334367268,0.3341910988640457,151,0.84,0.10112359550561797,0.2857142857142857,0.5925925925925926,0.45485761845312406,0.2833031958721202,154
0.25802528858184814,0.02361408049314984,0.004714846611022949,0.00025147348677226724,0.01,3,0.7,1,cleaned_invariant+speed,"{'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_depth': 3, 'clf__threshold': 0.7, 'embedding__n_estimators_tabpfn': 1, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",1.0,0.0628083036448342,0.12698412698412698,0.6666666666666666,0.4641147743239069,0.3882345299474863,97,1.0,0.12359550561797752,0.2857142857142857,0.6666666666666666,0.5189941144997324,0.3405632771502187,103
