param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
basic,0.5435737491877842,0.932664437012263,0.9366031270079245,0.975609756097561,0.8980751782175888,0.16080061784909663,153,0.66,0.9347826086956522,0.9347826086956522,0.9523809523809523,0.9136576949620427,0.11665063803056547,120,LogisticRegression_PCA
cleaned,0.4995121951219512,0.6407004830917874,0.6766798418972332,0.975609756097561,0.7987503793680887,0.2007097969243207,272,0.64,0.6956521739130435,0.6956521739130435,0.9523809523809523,0.8306142167011732,0.15544211713759945,246,LogisticRegression_PCA
cleaned,0.4995121951219512,0.7066064370412196,0.782608695652174,0.95,0.8147826763786467,0.17404329403922567,247,0.64,0.7391304347826086,0.782608695652174,0.9047619047619048,0.8281469979296067,0.11658262579235791,251,LogisticRegression_PCA
cleaned,0.5435737491877842,0.8590153452685422,0.9106990622335891,0.95,0.8772146927816525,0.15717233788317667,192,0.66,0.8695652173913043,0.9130434782608695,0.9047619047619048,0.8912284334023465,0.11420554698370197,157,LogisticRegression_PCA
cleaned,0.5840000000000001,0.932664437012263,0.9573951863354037,1.0,0.9123432705579445,0.1490542601937317,102,0.68,0.9347826086956522,0.9565217391304348,1.0,0.9285507246376813,0.11395443065686653,57,LogisticRegression_PCA
cleaned,0.5840000000000001,0.932664437012263,0.9573951863354037,1.0,0.9123432705579445,0.1490542601937317,102,0.68,0.9347826086956522,0.9565217391304348,1.0,0.9285507246376813,0.11395443065686653,57,LogisticRegression_PCA
cleaned+speed,0.4995121951219512,0.6407004830917874,0.6766798418972332,0.975609756097561,0.7987503793680887,0.2007097969243207,272,0.64,0.6956521739130435,0.6956521739130435,0.9523809523809523,0.8306142167011732,0.15544211713759945,246,LogisticRegression_PCA
cleaned+speed,0.4995121951219512,0.7066064370412196,0.782608695652174,0.95,0.8147826763786467,0.17404329403922567,247,0.64,0.7391304347826086,0.782608695652174,0.9047619047619048,0.8281469979296067,0.11658262579235791,251,LogisticRegression_PCA
cleaned+speed,0.5435737491877842,0.8590153452685422,0.9106990622335891,0.95,0.8772146927816525,0.15717233788317667,192,0.66,0.8695652173913043,0.9130434782608695,0.9047619047619048,0.8912284334023465,0.11420554698370197,157,LogisticRegression_PCA
cleaned+speed,0.5840000000000001,0.932664437012263,0.9573951863354037,1.0,0.9123432705579445,0.1490542601937317,102,0.68,0.9347826086956522,0.9565217391304348,1.0,0.9285507246376813,0.11395443065686653,57,LogisticRegression_PCA
cleaned+speed,0.5840000000000001,0.932664437012263,0.9573951863354037,1.0,0.9123432705579445,0.1490542601937317,102,0.68,0.9347826086956522,0.9565217391304348,1.0,0.9285507246376813,0.11395443065686653,57,LogisticRegression_PCA
basic,0.5435737491877842,0.6408317580340265,0.7061243571762507,0.8648648648648648,0.7749872340465677,0.15563616937979616,304,0.66,0.6739130434782609,0.6956521739130435,0.7619047619047619,0.7656418219461698,0.10525737094773568,293,LogisticRegression_PCA
basic,0.4995121951219512,0.7066064370412196,0.8412098298676748,0.8333333333333334,0.8051050876367857,0.16477667033942262,263,0.64,0.7391304347826086,0.8478260869565217,0.7142857142857143,0.8072705314009663,0.11856233819264915,270,LogisticRegression_PCA
basic,0.5840000000000001,0.8179791223269485,0.9354886659234486,0.8947368421052632,0.8720341050592767,0.14328178701152453,198,0.68,0.8260869565217391,0.9347826086956522,0.8095238095238095,0.8750655624568667,0.11512931269766731,194,LogisticRegression_PCA
