mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__class_weight,param_clf__estimator__max_depth,param_clf__estimator__min_samples_leaf,param_clf__threshold,param_feature_selector__feature_set,params,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc
0.5573494831720988,0.1062656432244587,0.07727964719136556,0.011410413091033475,,,1,0.7,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.7, 'feature_selector__feature_set': 'basic'}",0.8020373514431239,0.8634843417452113,0.44441699604743085,0.9230769230769231,0.9743589743589742,0.95,0.8262290977786106,0.17999762621563242,395,0.8,0.8695652173913043,0.43478260869565216,0.8571428571428571,0.95,0.9047619047619048,0.8027087646652865,0.17074317983332576,926
0.4924025535583496,0.03584030117134457,0.07204922040303548,0.015018093078815915,,,1,0.7,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.7, 'feature_selector__feature_set': 'cleaned'}",0.9173529411764706,0.9112965838509316,0.46967664720084185,0.95,1.0,0.95,0.866387695371374,0.17973508431568508,169,0.92,0.9130434782608695,0.45652173913043476,0.9047619047619048,1.0,0.9047619047619048,0.849848171152519,0.1789772872193921,406
0.5874696969985962,0.03541574383042414,0.06262711683909099,0.008744351202354802,,,1,0.7,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.7, 'feature_selector__feature_set': 'cleaned+speed'}",0.8590769230769232,0.8902929487637133,0.4183163737280296,0.95,0.9743589743589742,0.95,0.8403408699879401,0.19277016850471382,343,0.86,0.8913043478260869,0.41304347826086957,0.9047619047619048,0.95,0.9047619047619048,0.8206452726017943,0.1841940025002007,892
0.5672198534011841,0.08249882380474091,0.05473895867665609,0.010491479496965888,,,1,0.7,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.7, 'feature_selector__feature_set': 'invariant'}",0.764729064039409,0.9360889663026731,0.8152456239412761,0.9230769230769231,0.9473684210526315,0.95,0.8894181664021522,0.07232842265609896,48,0.76,0.9347826086956522,0.8260869565217391,0.8571428571428571,0.9,0.9047619047619048,0.8637957211870256,0.05812039152845812,253
0.5281772216161092,0.03533917813966585,0.05544881025950114,0.018772022765405315,,,1,0.7,cleaned_invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.7, 'feature_selector__feature_set': 'cleaned_invariant'}",0.7830517023959647,0.9571557971014493,0.8554347826086957,0.95,0.9473684210526315,0.8947368421052632,0.8979579242106674,0.06281745479135863,37,0.78,0.9565217391304348,0.8695652173913043,0.9047619047619048,0.9,0.8095238095238095,0.8700621118012423,0.05965447296445998,209
0.5478666226069132,0.10851555541679841,0.05582777659098307,0.00915651484427063,,,1,0.7,cleaned_invariant+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.7, 'feature_selector__feature_set': 'cleaned_invariant+speed'}",0.7624448217317488,0.9130434782608695,0.7675447990290568,0.95,0.9743589743589742,0.9230769230769231,0.8817448327429288,0.08485107965795134,96,0.76,0.9130434782608695,0.7608695652173914,0.9047619047619048,0.95,0.8571428571428571,0.8576363008971702,0.07384524655061647,307
0.5813109477361044,0.019363410828339915,0.0510251522064209,0.018171131233039227,,,1,0.8,basic,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.8, 'feature_selector__feature_set': 'basic'}",0.7829144921718185,0.894300969815844,0.19059929494712105,0.8,0.918918918918919,0.8648648648648648,0.7419330901197613,0.2512211411742798,1036,0.78,0.8913043478260869,0.2826086956521739,0.6666666666666666,0.85,0.7619047619047619,0.7054140786749482,0.20185815630971715,1021
0.5936927795410156,0.03332758256978677,0.04650827248891195,0.010285116930234574,,,1,0.8,cleaned,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.8, 'feature_selector__feature_set': 'cleaned'}",0.7447272727272727,0.894300969815844,0.239653883132144,0.8333333333333334,0.918918918918919,0.8648648648648648,0.7492998737987295,0.23451111284194442,1031,0.74,0.8913043478260869,0.32608695652173914,0.7142857142857143,0.85,0.7619047619047619,0.7139302967563838,0.18411060070564153,1012
0.5394075711568197,0.018949599508945994,0.061213294665018715,0.01702469839841594,,,1,0.8,cleaned+speed,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.8, 'feature_selector__feature_set': 'cleaned+speed'}",0.7245088566827697,0.9360889663026731,0.20082815734989645,0.6875,0.918918918918919,0.8648648648648648,0.7221182940198538,0.25094423872841654,1056,0.72,0.9347826086956522,0.30434782608695654,0.5238095238095238,0.85,0.7619047619047619,0.6824741200828157,0.21118548747232277,1037
0.5220151344935099,0.04435726912099222,0.07119075457255046,0.01671931758481313,,,1,0.8,invariant,"{'clf__estimator__class_weight': None, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__threshold': 0.8, 'feature_selector__feature_set': 'invariant'}",0.72,0.8315111450122892,0.6684464785151284,0.7647058823529411,0.918918918918919,0.8333333333333334,0.7894859596887684,0.08219337578894752,592,0.72,0.8260869565217391,0.6521739130434783,0.6190476190476191,0.85,0.7142857142857143,0.7302657004830918,0.08401046468407655,990
